fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.8,0.16,0.18,1.8,0.046,31,114,0.99226,3.27,0.55,10.8,6.0
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11.0,7.0
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5.0
6.0,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6.0
7.3,0.42,0.38,6.8,0.045,29,122,0.9925,3.19,0.37,12.6,7.0
6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12.0,7.0
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5.0
8.5,0.17,0.31,1.0,0.024,13,91,0.993,2.79,0.37,10.1,5.0
6.6,0.34,0.2,1.0,0.053,26,112,0.99336,3.32,0.55,9.1,5.0
6.0,0.36,0.39,3.2,0.027,20,125,0.991,3.38,0.39,11.3,7.0
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6.0
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10.0,6.0
6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,6.0
6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6.0
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5.0
6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,6.0
7.2,0.31,0.41,8.6,0.053,15,89,0.9976,3.29,0.64,9.9,6.0
7.5,0.23,0.3,1.2,0.03,27,80,0.99192,3.05,0.68,10.5,5.0
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5.0
7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5.0
5.0,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6.0
6.8,0.15,0.41,12.9,0.044,79.5,183,0.99742,3.24,0.78,10.2,6.0
6.0,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7.0
5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8.0
7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8.0
7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5.0
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7.0
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6.0
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5.0
6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11.0,6.0
6.6,0.44,0.32,3.0,0.095,13,75,0.98954,3.1,0.63,12.8,6.0
6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6.0
7.5,0.15,0.38,1.8,0.054,19,101,0.9946,3.24,0.44,10.0,5.0
7.7,0.34,0.28,11.0,0.04,31,117,0.99815,3.27,0.29,9.2,6.0
6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7.0
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6.0
6.0,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5.0
6.2,0.34,0.25,12.1,0.059,33,171,0.99769,3.14,0.56,8.7,6.0
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6.0
5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11.0,7.0
6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,6.0
7.0,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5.0
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5.0
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3.0,0.63,10.7,6.0
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7.0
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9.0,5.0
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3.0
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7.0
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3.0,0.32,12.8,7.0
7.6,0.19,0.37,13.1,0.033,52,151,0.99726,3.18,0.79,10.4,6.0
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10.0,6.0
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5.0
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9.0,6.0
7.0,0.22,0.24,11.0,0.041,75,167,0.99508,2.98,0.56,10.5,6.0
6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,6.0
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6.0
6.0,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7.0
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6.0
6.3,0.22,0.34,5.0,0.032,36,93,0.99012,3.27,0.36,13.5,7.0
7.0,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8.0
5.8,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6.0
7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,6.0
6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4,7.0
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7.0
5.5,0.12,0.33,1.0,0.038,23,131,0.99164,3.25,0.45,9.8,5.0
6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12.0,6.0
6.6,0.23,0.24,3.9,0.045,36,138,0.9922,3.15,0.64,11.3,7.0
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8.0
7.0,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6.0
6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5.0
6.6,0.27,0.3,1.9,0.025,14,153,0.9928,3.29,0.62,10.5,6.0
8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10.0,7.0
7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6.0
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5.0
6.8,0.19,0.4,9.85,0.055,41,103,0.99532,2.98,0.56,10.5,6.0
6.3,0.41,0.22,7.3,0.035,23,117,0.99172,3.2,0.39,11.94,7.0
6.7,0.48,0.49,2.9,0.03,28,122,0.98926,3.13,0.4,13.0,6.0
6.8,0.28,0.36,7.0,0.043,60,207,0.99556,3.16,0.49,9.6,6.0
6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11.0,6.0
7.3,0.15,0.4,2.0,0.05,24,92,0.9932,3.14,0.45,10.5,5.0
8.0,0.3,0.36,11.0,0.034,8,70,0.99354,3.05,0.41,12.2,6.0
8.0,0.66,0.72,17.55,0.042,62,233,0.9999,2.92,0.68,9.4,4.0
5.8,0.23,0.21,1.5,0.044,21,110,0.99138,3.3,0.57,11.0,6.0
6.0,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6.0
6.8,0.18,0.38,1.4,0.038,35,111,0.9918,3.32,0.59,11.2,7.0
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5.0
6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11.0,6.0
5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6.0
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9.0,6.0
6.9,0.17,0.3,2.0,0.047,13,117,0.99152,3.16,0.51,11.6,6.0
6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6.0
5.6,0.26,0.0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6.0
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5.0
6.0,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6.0
6.1,0.38,0.42,5.0,0.016,31,113,0.99007,3.15,0.31,12.4,7.0
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8.0
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6.0
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6.0
6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9.0,6.0
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5.0
8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12.0,6.0
6.8,0.32,0.33,0.7,0.027,15,66,0.9899,3.11,0.31,11.8,6.0
6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8,7.0
7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,7.0
6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8.0
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7.0
5.0,0.31,0.0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6.0
6.8,0.3,0.26,20.3,0.037,45,150,0.99727,3.04,0.38,12.3,6.0
7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6.0
5.7,0.27,0.16,9.0,0.053,32,111,0.99474,3.36,0.37,10.4,6.0
9.0,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5.0
6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5.0
6.7,0.31,0.33,2.0,0.033,12,74,0.99064,3.29,0.65,12.5,6.0
7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6.0
8.0,0.22,0.28,14.0,0.053,83,197,0.9981,3.14,0.45,9.8,6.0
5.8,0.6,0.0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5.0
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5.0
5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75,5.0
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8.0
6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6.0
8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6.0
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8.0
6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5.0
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7.0
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5.0
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7.0
6.7,0.45,0.3,5.3,0.036,27,165,0.99122,3.12,0.46,12.2,6.0
6.9,0.615,0.42,12.0,0.067,24,131,0.99727,3.19,0.34,9.3,5.0
6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10.0,5.0
6.7,0.27,0.12,1.3,0.041,62,138,0.9921,3.21,0.42,10.0,6.0
6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5.0
6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7.0
5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5.0
6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,6.0
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11.0,7.0
7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,6.0
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11.0,6.0
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4.0
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12.0,6.0
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5.0
6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,4.0
7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7.0
7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7.0
7.0,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6.0
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5.0
6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6.0
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9.0,6.0
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11.0,5.0
6.6,0.27,0.31,5.3,0.137,35,163,0.9951,3.2,0.38,9.3,5.0
8.0,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7.0
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8.0
6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6.0
6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6.0
5.8,0.555,0.26,4.5,0.053,17,126,0.9943,3.24,0.46,9.1,5.0
6.5,0.16,0.33,1.0,0.027,23,75,0.9908,3.3,0.39,11.4,7.0
7.2,0.25,0.32,1.5,0.054,24,105,0.99154,3.17,0.48,11.1,6.0
7.5,0.35,0.37,2.5,0.066,29,89,0.98964,3.14,0.42,12.7,6.0
7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5.0
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6.0
7.0,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5.0
7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6.0
7.2,0.25,0.19,8.0,0.044,51,172,0.9964,3.16,0.44,9.2,5.0
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5.0
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5.0
5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6.0
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6.0
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7.0
5.4,0.33,0.31,4.0,0.03,27,108,0.99031,3.3,0.43,12.2,7.0
7.5,0.34,0.28,4.0,0.028,46,100,0.98958,3.2,0.5,13.2,7.0
6.8,0.2,0.36,1.6,0.028,7,46,0.99175,3.21,0.6,10.9,6.0
7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5.0
6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5.0
7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9.0,7.0
5.8,0.36,0.5,1.0,0.127,63,178,0.99212,3.1,0.45,9.7,5.0
7.3,0.26,0.49,5.0,0.028,32,107,0.9936,3.24,0.54,10.8,6.0
7.5,0.26,0.38,5.7,0.021,23,125,0.99338,3.13,0.62,11.1,6.0
7.0,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5.0
7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3.0,0.54,9.3,5.0
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5.0
7.9,0.29,0.39,6.7,0.036,6,117,0.9938,3.12,0.42,10.7,5.0
6.8,0.52,0.32,13.2,0.044,54,221,0.9972,3.27,0.5,9.6,6.0
8.4,0.17,0.31,6.7,0.038,29,132,0.9945,3.1,0.32,10.6,7.0
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5.0
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7.0
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.0
6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6.0
6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5.0
6.7,0.24,0.29,6.8,0.038,54,127,0.9932,3.33,0.46,11.6,7.0
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7.0
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6.0
6.0,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6.0
7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7.0
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6.0
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6.0
6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,6.0
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6.0
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7.0
